company,address,longitude,latitude,latlong,longlat,zipcode,town,state,date_founded,date_closed,company_type,source,name_changed,year_name_changed,notes,see also
Bendix Corp,"800 San Antonio Road, Palo Alto, CA",-122.1015146,37.4202223,"-122.1015146, 37.4202223","37.4202223, -122.1015146",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Bivar Co Inc,"725 Loma Verde Ave, Palo Alto, CA",-122.1224219,37.4298851,"-122.1224219, 37.4298851","37.4298851, -122.1224219",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Branson Instrument Inc,"201 Town & Country Village, Palo Alto, CA",1.8774979,7.7227067,"1.8774979, 7.7227067","7.7227067, 1.8774979",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Brush Instruments (Div Gould),"780 Welch Road, Palo Alto, CA",-122.1767406,37.4375615,"-122.176740597109, 37.4375615","37.4375615, -122.176740597109",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Buckles Smith Co,"240 Spencer Ave, San Jose, CA",-121.8895918,37.3101405,"-121.8895918, 37.3101405","37.3101405, -121.8895918",,San Jose,California,,,electrical equipment and supplies ,1955 San Jose City Directory,,,,
Burndy Corp,"3975 E. Bayshore Rd, Palo Alto, CA",-122.102228,37.4299857,"-122.102228, 37.4299857","37.4299857, -122.102228",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Burroughs Inc,"770 Welch Rd, Palo Alto, CA",-122.176109,37.438155,"-122.176108950241, 37.438155","37.438155, -122.176108950241",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Cellotape Inc,"4024 Transport St, Palo Alto, CA",-122.1004421,37.4255328,"-122.1004421, 37.4255328","37.4255328, -122.1004421",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Chemo-Vac Electronic Corp,"760 Reed, Santa Clara, CA",-121.9453901,37.35914095,"-121.945390140073, 37.3591409509498","37.3591409509498, -121.945390140073",,Santa Clara,California,,,electrical equipment and supplies ,1954 San Jose City Directory,,,,
Circuit Engineering,"4024 Transport St, Palo Alto, CA",-122.1004421,37.4255328,"-122.1004421, 37.4255328","37.4255328, -122.1004421",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Circuit Engineering,"4024 Transport, Palo Alto, CA",-122.1004421,37.4255328,"-122.1004421, 37.4255328","37.4255328, -122.1004421",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Clevite Corporation (Semiconductor division),"1801 Page Mill Road, Palo Alto, CA",-122.1407349,37.4244998,"-122.1407349, 37.4244998","37.4244998, -122.1407349",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Cohu Electronics Inc (Kintel Division),"406 Channing Ave, Palo Alto, CA",-122.1551565,37.44405271,"-122.15515645101, 37.4440527099542","37.4440527099542, -122.15515645101",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Components for Research Inc,"979 Commercial St, Palo Alto, CA",-122.1002698,37.4246115,"-122.100269828221, 37.4246115","37.4246115, -122.100269828221",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Components for Research Inc,"979 Commercial St, Palo Alto, CA",-122.1002698,37.4246115,"-122.100269828221, 37.4246115","37.4246115, -122.100269828221",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Components Unlimited,"1020 Corporation Way, Palo Alto, CA",-122.1018012,37.4315865,"-122.101801216155, 37.4315865","37.4315865, -122.101801216155",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Computer Metrics,"991 Commercial St, Palo Alto, CA",-122.1002234,37.42496,"-122.100223411729, 37.42496","37.42496, -122.100223411729",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Continental Device Corp,"862 San Antonio Rd, Palo Alto, CA",-122.1028043,37.424265,"-122.102804254098, 37.424265","37.424265, -122.102804254098",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Corbin-Farnsworth Inc,"440 Page Mill Rd, Palo Alto, CA",-122.1412503,37.42386015,"-122.141250300603, 37.423860149296","37.423860149296, -122.141250300603",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Corbin-Farnsworth Inc,"440 Page Mill Rd, Palo Alto, CA",-122.1412503,37.42386015,"-122.141250300603, 37.423860149296","37.423860149296, -122.141250300603",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Cornell Dubilier Electronics,"701 Welch Rd, Palo Alto, CA",-122.172683,37.436904,"-122.172683, 37.436904","37.436904, -122.172683",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Cornell Dubilier Electronics,"701 Welch Rd, Palo Alto, CA",-122.172683,37.436904,"-122.172683, 37.436904","37.436904, -122.172683",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Data Disc Inc,"1275 California Ave, Palo Alto, CA",-122.1430031,37.4285379,"-122.1430031, 37.4285379","37.4285379, -122.1430031",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Data Disc Inc,"1275 California Ave, Palo Alto, CA",-122.1430031,37.4285379,"-122.1430031, 37.4285379","37.4285379, -122.1430031",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Data Disc Inc,"1275 California Ave, Palo Alto, CA",-122.1430031,37.4285379,"-122.1430031, 37.4285379","37.4285379, -122.1430031",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Data Measurement Corp,"855 Commercial Ave, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Data Pathing Inc,"490 San Antonio Rd, Palo Alto, CA",-122.1043862,37.41358988,"-122.104386163843, 37.4135898835005","37.4135898835005, -122.104386163843",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Diotran Pacific,"4151 Middlefield Rd, Palo Alto, CA",-122.1043964,37.4172031,"-122.104396416287, 37.4172031","37.4172031, -122.104396416287",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Diphase Inc,"800 San Antonio Road, Palo Alto, CA",-122.1015146,37.4202223,"-122.1015146, 37.4202223","37.4202223, -122.1015146",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Durrum Instrument Corp,"3950 Fabian Way, Palo Alto, CA",-122.1046444,37.423637,"-122.1046444, 37.423637","37.423637, -122.1046444",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Dymec A Division of Hewlett-Packard Co,"395 Page Mill Rd, Palo Alto, CA",-122.1393686,37.4257063,"-122.1393686, 37.4257063","37.4257063, -122.1393686",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Edex Teaching Systems,"3940 Fabian Way, Palo Alto, CA",-122.1046531,37.423736,"-122.104653084362, 37.423736","37.423736, -122.104653084362",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Electrical Materials Inc,"796 San Antonio Rd, Palo Alto, CA",-122.1014893,37.4199325,"-122.10148932584, 37.4199325","37.4199325, -122.10148932584",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Electrical Materials Inc,"864 San Antonio Rd, Palo Alto, CA",-122.1028099,37.42432,"-122.102809930556, 37.42432","37.42432, -122.102809930556",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Electro Motive Mfg Co,"1015 Corporation Way, Palo Alto, CA",-122.1028185,37.4313255,"-122.1028185, 37.4313255","37.4313255, -122.1028185",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Electro Optics Associates,"981 Commercial St, Palo Alto, CA",-122.1002839,37.4246904,"-122.1002839, 37.4246904","37.4246904, -122.1002839",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1967",,,,
Electromagnetic Technology Corp,"1375 California Ave, Palo Alto, CA",-122.1510254,37.4186678,"-122.151025371725, 37.4186677962579","37.4186677962579, -122.151025371725",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Electromagnetic Technology Corp,"925 E Meadow Dr, Palo Alto, CA",-122.107721,37.4286625,"-122.107721040134, 37.4286625","37.4286625, -122.107721040134",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Electronic Associates Inc,"4151 Middlefield Rd, Palo Alto, CA",-122.1043964,37.4172031,"-122.104396416287, 37.4172031","37.4172031, -122.104396416287",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Electronic Associates Inc,"4151 Middlefield Road, Palo Alto, CA",-122.1043964,37.4172031,"-122.104396416287, 37.4172031","37.4172031, -122.104396416287",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Endevco Corp (SLS OFC),"1890 Embarcadero Rd, Palo Alto, CA",-122.1139785,37.4526575,"-122.113978507707, 37.4526575","37.4526575, -122.113978507707",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Energy Systems An Ayden Co,"3180 Hanover St, Palo Alto, CA",-122.1464616,37.4141881,"-122.1464616, 37.4141881","37.4141881, -122.1464616",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Energy Systems Inc,"3180 Hanover St, Palo Alto, CA",-122.1464616,37.4141881,"-122.1464616, 37.4141881","37.4141881, -122.1464616",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Engineering Associate,"999 Commercial St, Palo Alto, CA",-122.0999304,37.425297,"-122.099930378289, 37.425297","37.425297, -122.099930378289",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
EPA Electronics,"220 Demeter St, East Palo Alto, CA",-122.1340951,37.47507293,"-122.134095071135, 37.4750729329966","37.4750729329966, -122.134095071135",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Erie Technological Products Inc,"460 California Ave, Palo Alto, CA",-122.1455626,37.42580545,"-122.145562572278, 37.42580545","37.42580545, -122.145562572278",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Erie Technological Products Inc,"415 Cambridge Ave, Palo Alto, CA",-122.145647,37.4266003,"-122.145647008039, 37.4266003","37.4266003, -122.145647008039",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Fairchild Semiconductor Corp,"4030 Fabian Way, Palo Alto, CA",-122.1042399,37.4258394,"-122.1042399, 37.4258394","37.4258394, -122.1042399",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Fairchild Semiconductor Corp,"384 Cambridge Ave, Palo Alto, CA",-122.1457916,37.4274821,"-122.1457916, 37.4274821","37.4274821, -122.1457916",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Farinon Microwave,"943 Industrial Ave, Palo Alto, CA",-122.0990143,37.423557,"-122.0990143, 37.423557","37.423557, -122.0990143",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Fetty & Schoenduve ,"253 Town & Country, Palo Alto, CA",1.8774979,7.7227067,"1.8774979, 7.7227067","7.7227067, 1.8774979",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Fisher Research Laboratory Inc,"1975 University Ave, Palo Alto, CA",-122.1640529,37.4433673,"-122.1640529, 37.4433673","37.4433673, -122.1640529",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Fisher Research Laboratory Inc,"1890 Embarcadero Rd, Palo Alto, CA",-122.1139785,37.4526575,"-122.113978507707, 37.4526575","37.4526575, -122.113978507707",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Fisher Switches Inc,"3199 Park Blvd, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Garner Laine Electronics,"825 San Antonio Road, Palo Alto, CA",-122.10374,37.4156375,"-122.10374, 37.4156375","37.4156375, -122.10374",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
General Electric Co (Defense Program Div),"701 Welch Rd, Palo Alto, CA",-122.172683,37.436904,"-122.172683, 37.436904","37.436904, -122.172683",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
General Electric Co (Defense Program Div),"701 Welch Road, Palo Alto, CA",-122.172683,37.436904,"-122.172683, 37.436904","37.436904, -122.172683",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
General Electric Co (Power Tube & Microwave Dept),"601 California Ave, Palo Alto, CA",-122.1430031,37.4285379,"-122.1430031, 37.4285379","37.4285379, -122.1430031",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
General Electric Co (Receiving Tube Dept),"701 Welch Rd, Palo Alto, CA",-122.172683,37.436904,"-122.172683, 37.436904","37.436904, -122.172683",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
General Electronic Laboratory,"1015 Corporation Way, Palo Alto, CA",-122.1028185,37.4313255,"-122.1028185, 37.4313255","37.4313255, -122.1028185",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
General Indicator Corp,"770 Welch Rd, Palo Alto, CA",-122.176109,37.438155,"-122.176108950241, 37.438155","37.438155, -122.176108950241",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Geo Metrics,"914 Industrial Ave, Palo Alto, CA",-122.0983369,37.4226465,"-122.098336930344, 37.4226465","37.4226465, -122.098336930344",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Granger Associates,"1601 California Ave, Palo Alto, CA",-122.1521816,37.4159835,"-122.152181568182, 37.4159835","37.4159835, -122.152181568182",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Granger Associates,"1601 California Ave, Palo Alto, CA",-122.1521816,37.4159835,"-122.152181568182, 37.4159835","37.4159835, -122.152181568182",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Grebmeier Mfg. Co.,"4151 Middlefield Rd, Palo Alto, CA",-122.1043964,37.4172031,"-122.104396416287, 37.4172031","37.4172031, -122.104396416287",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Gulton Industries,"201 Town & Country Village, Palo Alto, CA",1.8774979,7.7227067,"1.8774979, 7.7227067","7.7227067, 1.8774979",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Hathaway Pacific Corp,"4055 Fabian Way, Palo Alto, CA",-122.1042399,37.4258394,"-122.1042399, 37.4258394","37.4258394, -122.1042399",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Hewlett-Packard (Paeco Div),"3215 Porter Dr, Palo Alto, CA",-122.148027,37.408925,"-122.148026991935, 37.408925","37.408925, -122.148026991935",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Hewlett-Packard Co,"1501 Page Mill Road, Palo Alto, CA",-122.1478323,37.41202695,"-122.147832338048, 37.41202695","37.41202695, -122.147832338048",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Hewlett-Packard Co,"395 Page Mill Rd, Palo Alto, CA",-122.1393686,37.4257063,"-122.1393686, 37.4257063","37.4257063, -122.1393686",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
Hewlett-Packard-Delcon Division,"943 Industrial Ave, Palo Alto, CA",-122.0990143,37.423557,"-122.0990143, 37.423557","37.423557, -122.0990143",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Hoffman Electronics Corp,"378 Cambridge Ave, Palo Alto, CA",-122.1455955,37.4274661,"-122.145595477577, 37.4274661","37.4274661, -122.145595477577",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Hu-Mac Inc,"2425 Pulgas Ave, Palo Alto, CA",,,", ",", ",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Hughes Aircraft Semiconductor Division,"535 Middlefield Rd, Palo Alto, CA",-122.1157981,37.4248921,"-122.1157981, 37.4248921","37.4248921, -122.1157981",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1956",,,,
Illumi Tronic Engineering Co,"680 Taylor Ave, Sunnyvale, CA",-122.0151588,37.38297368,"-122.015158845676, 37.3829736820353","37.3829736820353, -122.015158845676",,Sunnyvale,California,,,electrical equipment and supplies ,1954 San Jose City Directory,,,,
Indiana General Corp,"701 Welch Road, Palo Alto, CA",-122.172683,37.436904,"-122.172683, 37.436904","37.436904, -122.172683",,Palo Alto,California,,,electrical equipment and supplies ,"Palo Alto Directory, 1970",,,,
